"Gene" "Ensembl" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"1" "HAND1" "ENSG00000113196" 355.5547447451 -10.8678924357 1.2383800211 -8.7758945157 1.7e-18 2.38e-14
"2" "APOE" "ENSG00000130203" 41354.5770395127 6.3962881021 0.7642452231 8.3694184911 5.79e-17 4.06e-13
"3" "SMAD7" "ENSG00000101665" 101.9377261821 -9.6198862805 1.2071556386 -7.9690521857 1.6e-15 7.47e-12
"4" "CNTFR" "ENSG00000122756" 87.4956192401 10.7384465034 1.386427607 7.7454072964 9.53e-15 3.34e-11
"5" "WNT7A" "ENSG00000154764" 79.1738001321 -9.6648006151 1.3507383843 -7.1551980218 8.36e-13 2.12e-09
"7" "APOA4" "ENSG00000110244" 642.5606825864 7.883798942 1.1100588477 7.1021450423 1.23e-12 2.46e-09
"9" "ODAM" "ENSG00000109205" 69.5126609298 -9.4817085125 1.3593552361 -6.9751513519 3.06e-12 4.62e-09
"10" "SLC38A1" "ENSG00000111371" 196.2365466944 -8.7196309299 1.2519760315 -6.9646947788 3.29e-12 4.62e-09
"11" "NR2F1" "ENSG00000175745" 65.3667734011 10.3156570354 1.5223693273 6.7760541744 1.24e-11 1.57e-08
"12" "BIK" "ENSG00000100290" 976.8914819031 5.3432458131 0.8047075366 6.6399848019 3.14e-11 3.67e-08
"13" "GYPC" "ENSG00000136732" 128.9608663119 -9.6027319336 1.4682490661 -6.5402608832 6.14e-11 5.41e-08
"14" "PANK1" "ENSG00000152782" 54.5354740165 -7.3202286818 1.1192274795 -6.5404297304 6.13e-11 5.41e-08
"15" "FAM151A" "ENSG00000162391" 9000.263901382 5.459906492 0.8329043312 6.5552624561 5.55e-11 5.41e-08
"16" "MFAP5" "ENSG00000197614" 241.3816699823 6.684930692 1.0250167535 6.5217770041 6.95e-11 5.41e-08
"17" "MTRNR2L1" "ENSG00000256618" 20.2106646999 6.3365772851 0.9699988892 6.5325613828 6.47e-11 5.41e-08
"19" "RAB20" "ENSG00000139832" 162.4946497925 -7.6111143464 1.1719761242 -6.4942571689 8.34e-11 6.16e-08
"20" "UGT8" "ENSG00000174607" 75.539662627 8.5402859836 1.3347122904 6.3985969447 1.57e-10 1.1e-07
"21" "DLX5" "ENSG00000105880" 171.2016035256 -8.5450772856 1.3528103836 -6.3165373279 2.67e-10 1.79e-07
"22" "MT-ND3" "ENSG00000198840" 22132.892622636 4.5188170082 0.7185979032 6.2883804533 3.21e-10 2.04e-07
"23" "H19" "ENSG00000130600" 8.8001907377 -7.5075474505 1.2176091946 -6.1658104127 7.01e-10 4.28e-07
"24" "LONRF1" "ENSG00000154359" 41.2144791309 -8.6742587595 1.4132774076 -6.1376901043 8.37e-10 4.89e-07
"25" "FECH" "ENSG00000066926" 46.2360115832 -8.7262624271 1.4300458469 -6.10208578 1.05e-09 5.87e-07
"26" "PWP2" "ENSG00000241945" 52.6567571257 -6.2594949297 1.0281832839 -6.0879174246 1.14e-09 6.17e-07
"27" "GABBR2" "ENSG00000136928" 32.5436041932 -8.4371452929 1.4083699047 -5.9907168316 2.09e-09 1.09e-06
"28" "RHOBTB3" "ENSG00000164292" 25.4257151004 -8.2509470295 1.3866136824 -5.9504295495 2.67e-09 1.34e-06
"29" "MT-RNR1" "ENSG00000211459" 381413.228268504 4.6282537801 0.7812457489 5.9241970748 3.14e-09 1.52e-06
"32" "GRHL1" "ENSG00000134317" 249.5740079439 -5.2928431335 0.90784637 -5.8301088251 5.54e-09 2.43e-06
"33" "ISG15" "ENSG00000187608" 255.0931720926 7.3378669986 1.265069569 5.800366382 6.62e-09 2.81e-06
"34" "IFITM2" "ENSG00000185201" 300.3461254135 -4.8084287182 0.8397407554 -5.7260871133 1.03e-08 4.24e-06
"35" "ZNF750" "ENSG00000141579" 146.0763885948 -7.6750645491 1.3438464716 -5.7112659156 1.12e-08 4.49e-06
"36" "MT-ND2" "ENSG00000198763" 853761.338849507 4.2887936115 0.7595210797 5.6467078088 1.64e-08 6.37e-06
"37" "KIAA1462" "ENSG00000165757" 250.703570448 -5.8752014174 1.052700157 -5.5810777443 2.39e-08 9.06e-06
"38" "ELOVL7" "ENSG00000164181" 79.7268523162 7.1454440687 1.2818877554 5.5741573616 2.49e-08 9.18e-06
"39" "E2F7" "ENSG00000165891" 34.1191997971 -7.0580372176 1.2823870865 -5.5038274263 3.72e-08 1.31e-05
"40" "RP11-267L5.1" "ENSG00000254339" 318.0407399458 -5.1458031671 0.9351499152 -5.50265052 3.74e-08 1.31e-05
"41" "MIPOL1" "ENSG00000151338" 371.1952705755 4.5710090587 0.8427418861 5.4239727896 5.83e-08 1.95e-05
"43" "RARRES1" "ENSG00000118849" 33.8567995554 -8.0754171619 1.5024749259 -5.3747433802 7.67e-08 2.5e-05
"44" "ZNF467" "ENSG00000181444" 60.3186465573 7.6982507731 1.4450301319 5.3273980959 9.96e-08 3.18e-05
"45" "MT-ATP6" "ENSG00000198899" 673902.919256522 3.8769772286 0.7303448632 5.3084199316 1.11e-07 3.45e-05
"46" "IBA57" "ENSG00000181873" 25.2728941172 -5.5667856318 1.050604281 -5.2986511977 1.17e-07 3.49e-05
"49" "TNFSF12" "ENSG00000239697" 16.7173804353 -7.5627159871 1.4469154867 -5.226784879 1.72e-07 4.94e-05
